iter	Passed	Remaining
301	205	134
302	206	133
303	206	133
304	207	132
305	207	131
306	208	130
307	208	130
308	209	129
309	209	128
310	210	127
311	210	127
312	211	126
313	211	125
314	212	124
315	212	123
316	213	123
317	213	122
318	214	121
319	215	120
320	215	120
321	216	119
322	216	118
323	217	117
324	217	117
325	218	116
326	218	115
327	219	114
328	219	114
329	220	113
330	220	112
331	221	112
332	221	111
333	222	110
334	222	109
335	223	109
336	224	108
337	224	107
338	225	106
339	225	106
340	226	105
341	226	104
342	227	103
343	227	103
344	228	102
345	228	101
346	229	101
347	229	100
348	230	99
349	230	98
350	231	98
351	231	97
352	232	96
353	232	96
354	233	95
355	233	94
356	234	93
357	235	93
358	235	92
359	236	91
360	236	91
361	237	90
362	237	89
363	238	89
364	238	88
365	239	87
366	239	86
367	240	86
368	240	85
369	241	84
370	241	84
371	242	83
372	242	82
373	243	82
374	243	81
375	244	80
376	245	79
377	245	79
378	246	78
379	246	77
380	247	77
381	247	76
382	248	75
383	248	75
384	249	74
385	249	73
386	250	73
387	250	72
388	251	71
389	251	71
390	252	70
391	252	69
392	253	69
393	253	68
394	254	67
395	255	66
396	255	66
397	256	65
398	256	64
399	257	64
400	257	63
401	258	62
402	258	62
403	259	61
404	259	60
405	260	60
406	260	59
407	261	58
408	261	58
409	262	57
410	263	56
411	263	56
412	264	55
413	264	54
414	265	54
415	265	53
416	266	52
417	266	52
418	267	51
419	267	50
420	268	50
421	268	49
422	269	49
423	269	48
424	270	47
425	270	47
426	271	46
427	271	45
428	272	45
429	272	44
430	273	43
431	273	43
432	274	42
433	275	41
434	275	41
435	276	40
436	276	39
437	277	39
438	277	38
439	278	37
440	278	37
441	279	36
442	279	36
443	280	35
444	280	34
445	281	34
446	281	33
447	282	32
448	282	32
449	283	31
450	283	30
451	284	30
452	285	29
453	285	28
454	286	28
455	286	27
456	287	27
457	287	26
458	288	25
459	288	25
460	289	24
461	289	23
462	290	23
463	290	22
464	291	21
465	291	21
466	292	20
467	292	20
468	293	19
469	293	18
470	294	18
471	294	17
472	295	16
473	295	16
474	296	15
475	297	14
476	297	14
477	298	13
478	298	13
479	299	12
480	299	11
481	300	11
482	300	10
483	301	9
484	301	9
485	302	8
486	302	8
487	303	7
488	303	6
489	304	6
490	304	5
491	305	4
492	305	4
493	306	3
494	306	3
495	307	2
496	307	1
497	308	1
498	309	0
499	309	0
