iter	Passed	Remaining
0	47	23603
1	47	11918
2	48	8013
3	48	6062
4	49	4894
5	49	4105
6	50	3549
7	50	3131
8	51	2806
9	51	2546
10	52	2331
11	52	2155
12	53	2003
13	54	1875
14	54	1762
15	55	1664
16	55	1578
17	56	1502
18	56	1434
19	57	1372
20	57	1316
21	58	1264
22	58	1217
23	59	1173
24	59	1132
25	60	1095
26	60	1061
27	61	1030
28	61	1002
29	62	975
30	62	950
31	63	926
32	63	903
33	64	883
34	65	863
35	65	844
36	66	826
37	66	809
38	67	793
39	67	778
40	68	763
41	68	749
42	69	735
43	69	722
44	70	710
45	70	698
46	71	687
47	71	676
48	72	666
49	72	655
50	73	645
51	73	636
52	74	627
53	74	618
54	75	610
55	75	602
56	76	594
57	77	587
58	77	579
59	78	573
60	78	566
61	79	559
62	79	553
63	80	546
64	80	540
65	81	534
66	81	529
67	82	523
68	82	517
69	83	512
70	83	507
71	84	502
72	85	497
73	85	492
74	86	487
75	86	483
76	87	478
77	87	474
78	88	470
79	88	465
80	89	461
81	89	457
82	90	453
83	90	450
84	91	446
85	91	442
86	92	438
87	92	435
88	93	431
89	94	428
90	94	424
91	94	420
92	95	417
93	95	414
94	96	411
95	96	407
96	97	404
97	98	402
98	98	399
99	99	396
100	99	393
101	100	390
102	100	387
103	101	385
104	101	382
105	102	379
106	102	377
107	103	374
108	103	372
109	104	369
110	104	367
111	105	365
112	105	362
113	106	360
114	106	358
115	107	355
116	107	353
117	108	351
118	109	349
119	109	346
120	110	344
121	110	343
122	111	341
123	111	339
124	112	337
125	112	335
126	113	333
127	114	331
128	114	329
129	115	327
130	115	325
131	116	324
132	116	322
133	117	320
134	117	318
135	118	316
136	118	314
137	119	313
138	119	311
139	120	309
140	121	308
141	121	306
142	122	304
143	122	303
144	123	301
145	123	300
146	124	298
147	124	296
148	125	295
149	125	293
150	126	291
151	126	290
152	127	288
153	128	287
154	128	286
155	129	285
156	129	283
157	130	281
158	130	280
159	131	278
160	131	277
161	131	275
162	132	273
163	133	272
164	133	271
165	134	269
166	134	268
167	135	267
168	135	265
169	136	264
170	136	263
171	137	261
172	137	260
173	138	259
174	138	257
175	139	256
176	139	255
177	140	254
178	140	252
179	141	251
180	142	250
181	142	249
182	143	247
183	143	246
184	144	245
185	144	244
186	145	242
187	145	241
188	146	240
189	146	239
190	147	238
191	147	237
192	148	235
193	148	234
194	149	233
195	149	232
196	150	231
197	150	230
198	151	229
199	151	227
200	152	226
201	153	225
202	153	224
203	154	223
204	154	222
205	155	221
206	155	220
207	156	219
208	156	218
209	157	217
210	157	216
211	158	215
212	158	213
213	159	212
214	159	211
215	160	210
216	160	209
217	161	208
218	161	207
219	162	206
220	162	205
221	163	204
222	164	203
223	164	202
224	165	201
225	165	200
226	166	199
227	166	198
228	167	197
229	167	196
230	168	195
231	168	194
232	169	194
233	169	193
234	170	192
235	170	191
236	171	190
237	171	189
238	172	188
239	172	187
240	173	186
241	174	185
242	174	184
243	175	183
244	175	182
245	176	181
246	176	181
247	177	180
248	177	179
249	178	178
250	178	177
251	179	176
252	179	175
253	180	174
254	180	173
255	181	172
256	182	172
257	182	171
258	183	170
259	183	169
260	184	168
261	184	167
262	185	166
263	185	166
264	186	165
265	186	164
266	187	163
267	187	162
268	188	161
269	188	160
270	189	159
271	189	159
272	190	158
273	190	157
274	191	156
275	191	155
276	192	154
277	192	154
278	193	153
279	193	152
280	194	151
281	195	150
282	195	149
283	196	149
284	196	148
285	197	147
286	197	146
287	198	145
288	198	145
289	199	144
290	199	143
291	200	142
292	200	141
293	201	141
294	201	140
295	202	139
296	202	138
297	203	137
298	203	137
299	204	136
300	204	135
