iter	Accuracy	Logloss
0	0.8429752066	0.6567748717
1	0.8842975207	0.6183458586
2	0.8925619835	0.5836207148
3	0.9297520661	0.5504844402
4	0.9338842975	0.5189301435
5	0.9338842975	0.4962753094
6	0.9380165289	0.4692327825
7	0.9380165289	0.4498820872
8	0.9380165289	0.4333662049
9	0.9380165289	0.4167166544
10	0.9380165289	0.4026225723
11	0.9338842975	0.3881088886
12	0.9338842975	0.3731559928
13	0.9380165289	0.3591690524
14	0.9380165289	0.3489073901
15	0.9380165289	0.3401936281
16	0.9380165289	0.3316502562
17	0.9338842975	0.3206744808
18	0.9338842975	0.3132941812
19	0.9380165289	0.3055988723
20	0.9421487603	0.296195949
21	0.9421487603	0.2894129561
22	0.9421487603	0.2815927916
23	0.9421487603	0.2783762946
24	0.9421487603	0.2742561563
25	0.9421487603	0.2703608208
26	0.9380165289	0.2646815478
27	0.9380165289	0.2587864055
28	0.9380165289	0.2526160376
29	0.9380165289	0.2464734711
30	0.9462809917	0.2430018908
31	0.9421487603	0.2386652687
32	0.9462809917	0.2335841414
33	0.9462809917	0.2289442078
34	0.9462809917	0.2252633096
35	0.9504132231	0.2201502579
36	0.9504132231	0.216807511
37	0.9504132231	0.2127964242
38	0.9545454545	0.209160801
39	0.958677686	0.205092124
40	0.958677686	0.2018502713
41	0.958677686	0.1991538574
42	0.958677686	0.1962372579
43	0.9628099174	0.1916375012
44	0.9628099174	0.1886172977
45	0.9669421488	0.1849313421
46	0.9669421488	0.1826063684
47	0.9710743802	0.1794133949
48	0.9710743802	0.1753557594
49	0.9710743802	0.1746108905
50	0.9710743802	0.1716890147
51	0.9710743802	0.1692383788
52	0.9710743802	0.1668168701
53	0.9752066116	0.1639027607
54	0.9752066116	0.1619791357
55	0.9752066116	0.1592853753
56	0.9834710744	0.1569724966
57	0.9834710744	0.1546937862
58	0.9834710744	0.1530528227
59	0.9876033058	0.1512342503
60	0.9876033058	0.1500509611
61	0.9876033058	0.1465872966
62	0.9876033058	0.1449823986
63	0.9876033058	0.1443796025
64	0.9876033058	0.1426906309
65	0.9876033058	0.1409633051
66	0.9876033058	0.1400821915
67	0.9876033058	0.1388417598
68	0.9876033058	0.1368613924
69	0.9876033058	0.1346726082
70	0.9876033058	0.1336663272
71	0.9876033058	0.1314852293
72	0.9876033058	0.1293359873
73	0.9876033058	0.1277312301
74	0.9917355372	0.1273113015
75	0.9917355372	0.1266541526
76	0.9917355372	0.1241781573
77	0.9917355372	0.1227165173
78	0.9917355372	0.1211343118
79	0.9917355372	0.1202611024
80	0.9917355372	0.1195283116
81	0.9917355372	0.1183326482
82	0.9917355372	0.1161236717
83	0.9917355372	0.1153581145
84	0.9917355372	0.1146024716
85	0.9917355372	0.1137621158
86	0.9917355372	0.112206768
87	0.9958677686	0.1102336943
88	0.9958677686	0.1095977017
89	0.9958677686	0.1085500405
90	0.9958677686	0.1081152126
91	0.9958677686	0.1074324562
92	0.9958677686	0.1062411987
93	0.9958677686	0.1056813357
94	0.9958677686	0.1048663855
95	0.9958677686	0.1034336147
96	0.9958677686	0.1020042654
97	0.9958677686	0.1013011307
98	0.9958677686	0.1007336612
99	0.9958677686	0.0992527462
100	0.9958677686	0.09789900287
101	0.9958677686	0.09745760897
102	0.9958677686	0.09643278012
103	0.9958677686	0.09457878652
104	0.9958677686	0.0933825701
105	0.9958677686	0.09246579247
106	0.9958677686	0.09076962197
107	0.9958677686	0.08990156307
108	0.9958677686	0.08897788659
109	0.9958677686	0.08808231748
110	0.9958677686	0.08698368202
111	0.9958677686	0.0858733528
112	0.9958677686	0.08506684221
113	0.9958677686	0.08384998408
114	0.9958677686	0.08319203584
115	0.9958677686	0.08222300077
116	0.9958677686	0.08131204366
117	1	0.08030924648
118	1	0.07923061154
119	1	0.07839307722
120	1	0.07733483641
121	1	0.07650276002
122	1	0.07531483076
123	1	0.07492806719
124	1	0.07419811254
125	1	0.07344851227
126	1	0.07280831441
127	1	0.07146307932
128	1	0.07101811983
129	1	0.06987071412
130	1	0.06885847341
131	1	0.06808008405
132	1	0.06748430455
133	1	0.06673226727
134	1	0.06653870494
135	1	0.06603157265
136	1	0.06578644488
137	1	0.06515636945
138	1	0.0645539143
139	1	0.0644686846
140	1	0.06353343359
141	1	0.06262346402
142	1	0.06216340797
143	1	0.06128401752
144	1	0.06077683034
145	1	0.05987250305
146	1	0.05942326569
147	1	0.05871358043
148	1	0.05762730491
149	1	0.05760214065
150	1	0.05695791342
151	1	0.05626354045
152	1	0.05579889963
153	1	0.0555705521
154	1	0.05503684152
155	1	0.05485266234
156	1	0.05479919054
157	1	0.05425946846
158	1	0.05393292622
159	1	0.05302052102
160	1	0.05232424754
161	1	0.05174895408
162	1	0.05130146671
163	1	0.05089470088
164	1	0.05032232177
165	1	0.05011362039
166	1	0.04942318942
167	1	0.04889981454
168	1	0.04827775072
169	1	0.0478097581
170	1	0.04747284975
171	1	0.04716309944
172	1	0.04654715127
173	1	0.04608887993
174	1	0.04561135643
175	1	0.04504042398
176	1	0.04476496782
177	1	0.04426056572
178	1	0.04403001322
179	1	0.04359126776
180	1	0.04335507564
181	1	0.04285652864
182	1	0.04267223594
183	1	0.04265305363
184	1	0.04219796319
185	1	0.0420073112
186	1	0.04152489468
187	1	0.04107423375
188	1	0.04068398627
189	1	0.04031255953
190	1	0.04029371956
191	1	0.03994296773
192	1	0.03948201032
193	1	0.03946155943
194	1	0.03913051041
195	1	0.03878787724
196	1	0.03845725897
197	1	0.03792297177
198	1	0.03771485643
199	1	0.03731967357
200	1	0.03693526926
201	1	0.03669931741
202	1	0.03641443691
203	1	0.03616953684
204	1	0.0360030065
205	1	0.03578289464
206	1	0.03559924634
207	1	0.03538365866
208	1	0.03515106479
209	1	0.03494067561
210	1	0.03457727741
211	1	0.0342238338
212	1	0.03391132517
213	1	0.03363928712
214	1	0.03322868519
215	1	0.0332109731
216	1	0.03297646879
217	1	0.03277468894
218	1	0.03260760619
219	1	0.03244264977
220	1	0.03219003241
221	1	0.03181871456
222	1	0.03161125822
223	1	0.03140044972
224	1	0.03122111361
225	1	0.03097241394
226	1	0.03070066695
227	1	0.03055798142
228	1	0.03030315472
229	1	0.0300901465
230	1	0.02996148027
231	1	0.0298216969
232	1	0.02968881177
233	1	0.02942428541
234	1	0.02922640406
235	1	0.02903322088
236	1	0.02880957506
237	1	0.0286053113
238	1	0.02838792977
239	1	0.02821199815
240	1	0.02801296827
241	1	0.02786446072
242	1	0.02758614802
243	1	0.02743766978
244	1	0.02722535353
245	1	0.02695976123
246	1	0.02680402302
247	1	0.02667589378
248	1	0.02653825619
249	1	0.02636760177
250	1	0.02626293129
251	1	0.02612785689
252	1	0.02593384375
253	1	0.02572368382
254	1	0.02552781758
255	1	0.02536838253
256	1	0.02526476975
257	1	0.02513352705
258	1	0.0249674371
259	1	0.02486530756
260	1	0.02469547861
261	1	0.0245375787
262	1	0.02438259154
263	1	0.02426434846
264	1	0.02412758586
265	1	0.0239648942
266	1	0.02381838616
267	1	0.0236593456
268	1	0.02355020682
269	1	0.02347530387
270	1	0.02330843927
271	1	0.02319187334
272	1	0.02309359181
273	1	0.02301021888
274	1	0.02294818271
275	1	0.02287422467
276	1	0.02270604021
277	1	0.02258206054
278	1	0.02246724941
279	1	0.02236872317
280	1	0.02219030406
281	1	0.02205346253
282	1	0.0219814851
283	1	0.02190360275
284	1	0.02177299111
285	1	0.02167321479
286	1	0.02157972833
287	1	0.02149015684
288	1	0.02136571329
289	1	0.02127041082
290	1	0.02118501427
291	1	0.02105763658
292	1	0.02096667462
293	1	0.02084863421
294	1	0.0207289673
295	1	0.02056640269
296	1	0.02044781633
297	1	0.02033818234
298	1	0.02017406402
299	1	0.02011708908
300	1	0.01999066025
301	1	0.01989321498
302	1	0.01976266833
303	1	0.01970046181
304	1	0.01961363545
305	1	0.01945311185
306	1	0.01937882836
307	1	0.01933710209
308	1	0.01928700666
309	1	0.01913327703
310	1	0.01900764911
311	1	0.0189141285
312	1	0.01879741641
313	1	0.01874121553
314	1	0.0186392795
315	1	0.01856456579
316	1	0.01849603353
317	1	0.01836727338
318	1	0.01829761488
319	1	0.01825823151
320	1	0.01825475569
321	1	0.01815816505
322	1	0.01814714508
323	1	0.01807463658
324	1	0.01797139837
325	1	0.01787922119
326	1	0.01778087793
327	1	0.01772289725
328	1	0.01759780388
329	1	0.01749405527
330	1	0.0174121815
331	1	0.01731342836
332	1	0.01723127455
333	1	0.01715883762
334	1	0.01709968292
335	1	0.01700338356
336	1	0.01700006933
337	1	0.0169121904
338	1	0.01683118108
339	1	0.01674183549
340	1	0.01666063372
341	1	0.01659229295
342	1	0.0165467728
343	1	0.01643730588
344	1	0.01636616914
345	1	0.01632370885
346	1	0.01626954151
347	1	0.01620471404
348	1	0.01614902191
349	1	0.0161060066
350	1	0.01603906336
351	1	0.01598633602
352	1	0.01588588531
353	1	0.01579560104
354	1	0.01573348852
355	1	0.0156933459
356	1	0.01566470861
357	1	0.01561411734
358	1	0.01554404942
359	1	0.0154800136
360	1	0.01543486496
361	1	0.01534455089
362	1	0.01525391779
363	1	0.01520959369
364	1	0.01513148916
365	1	0.01507613054
366	1	0.01499021705
367	1	0.01499021284
368	1	0.01495978442
369	1	0.01489504183
370	1	0.01486569778
371	1	0.01482044297
372	1	0.01481967882
373	1	0.01475878264
374	1	0.01471229405
375	1	0.01465044066
376	1	0.01457233974
377	1	0.01453722781
378	1	0.01445691782
379	1	0.01441303212
380	1	0.01438613489
381	1	0.01429497636
382	1	0.01423524851
383	1	0.01418391551
384	1	0.01412051906
385	1	0.01407340211
386	1	0.01400631612
387	1	0.01394960843
388	1	0.01389404026
389	1	0.01385473643
390	1	0.01381352673
391	1	0.01377397384
392	1	0.01372327335
393	1	0.01368148728
394	1	0.01362840942
395	1	0.01355773098
396	1	0.01351819578
397	1	0.01346664234
398	1	0.01341580866
399	1	0.01336335721
400	1	0.01330330849
401	1	0.01327127239
402	1	0.01322894707
403	1	0.01319221352
404	1	0.01314347025
405	1	0.0131078989
406	1	0.01306078428
407	1	0.01300082605
408	1	0.01293981672
409	1	0.01288679637
410	1	0.01285111645
411	1	0.01281949168
412	1	0.01278365593
413	1	0.01272774251
414	1	0.01268215824
415	1	0.01264842486
416	1	0.0126484009
417	1	0.01262781807
418	1	0.01256790319
419	1	0.01251780604
420	1	0.01248150871
421	1	0.01243387708
422	1	0.01237102533
423	1	0.01233106568
424	1	0.01229137274
425	1	0.01225410813
426	1	0.01219437122
427	1	0.01214943207
428	1	0.01209984326
429	1	0.01205491403
430	1	0.01203194437
431	1	0.0119893422
432	1	0.01194530776
433	1	0.01188737068
434	1	0.01184630457
435	1	0.01179194501
436	1	0.01177227739
437	1	0.01175354711
438	1	0.01171331717
439	1	0.01169731396
440	1	0.01164151848
441	1	0.0116094267
442	1	0.01159365259
443	1	0.01157068564
444	1	0.01154143002
445	1	0.0114835306
446	1	0.01144329744
447	1	0.01141982824
448	1	0.01139190893
449	1	0.01134169983
450	1	0.01132231268
451	1	0.01127369595
452	1	0.01124082745
453	1	0.01120711241
454	1	0.01117650618
455	1	0.01116459918
456	1	0.01111859752
457	1	0.01108346992
458	1	0.01104917837
459	1	0.01099983059
460	1	0.01096695055
461	1	0.01091604962
462	1	0.01088778052
463	1	0.01086223559
464	1	0.01082044306
465	1	0.01080511354
466	1	0.01079328756
467	1	0.01075796711
468	1	0.01074218361
469	1	0.01074213249
470	1	0.0107187296
471	1	0.01069602788
472	1	0.01069287705
473	1	0.01066427458
474	1	0.01064360449
475	1	0.01061158781
476	1	0.0105616648
477	1	0.01053491201
478	1	0.01052240003
479	1	0.01051458738
480	1	0.01047870901
481	1	0.01044405148
482	1	0.0104103421
483	1	0.01041033436
484	1	0.01037637832
485	1	0.01034603632
486	1	0.01032915133
487	1	0.01029903499
488	1	0.01028107575
489	1	0.01024223984
490	1	0.01022388822
491	1	0.01017706591
492	1	0.01015666165
493	1	0.01011921628
494	1	0.01008744803
495	1	0.0100858962
496	1	0.01006063851
497	1	0.01004103033
498	1	0.01001132467
499	1	0.009983887132
